"initiative_id","spot_counts","active_spots","station_list","ordered_impressions","delivered_impressions"
"5856006d-1cc3-4ca5-81ef-4cdf8cc998ae",603,603,"KBFP-AM, KHTY-AM, KRAB-FM, KDFO-FM, KBFP-FM",61292818,61292818
"71f822f6-5d4b-496a-a826-688624e5cf4a",464,464,"KMOD-FM, KAKC-AM, KTGX-FM, KTBZ-AM, KTBT-FM",29463353,29463353
a3e2e6f1-9c8f-4d74-95d0-a913c0416f6c,226,226,"WNCI-FM, WCOL-FM, WZCB-FM, WTVN-AM, WODC-FM",13870005,13870005
a932322f-6817-479e-85e4-9c3646e5140d,640,640,"WGCI-FM, WCHI-FM, WKQX-FM, WKSC-FM, WLS-FM, WLIT-FM, WVAZ-FM, WSHE-FM, WTBC-FM, WPWX-FM, WGN-AM",378020766,378020766
b5edefc5-27ab-453e-b8a5-92f1a5c413c9,1423,1423,"WWKA-FM, WMGF-FM, WRUM-FM, WXXL-FM, WCFB-FM, WMMO-FM, WOEX-FM",374112656,374112656
b6820917-3744-43b4-8c54-8d6ebf00f482,283,283,"WTSO-AM, WMAD-FM, WZEE-FM, WXXM-FM, WIBA-FM, WIBA-AM",24173445,24173445
c4a53529-98f3-439e-a2fc-33bab4f242d6,994,994,"WMZQ-F2, WUSQ-FM, WASH-FM, WWDC-FM, WMZQ-FM, WBIG-FM, WMRE-AM, WHUR-FM, WMMJ-FM, WWDC-F2, WFLS-FM, WGRQ-FM, WWUZ-FM, WGRX-FM, WKSI-FM, WFQX-FM",231263161,231263161
e3a78ae3-1022-4bf0-b937-d552e901132b,1310,1310,"KNRS-FM, KJMY-FM, KZHT-FM, KODJ-FM, KAAZ-FM, KUBL-FM, KBER-FM, KBEE-FM, KENZ-FM, KKAT-AM, KSOP-FM, KJMY-F2",86499534,86499534
fd8ba53e-e49a-4ee8-bc3c-91486d1803d8,1958,1958,"WHJX-FM, WJBT-FM, WQIK-FM, WPLA-FM, WSOL-FM, WKSL-FM, WJGL-F2, WOKV-FM, WAPE-FM, WJGL-FM, WEZI-FM",186719704,186719704
"399bbdef-247d-4598-b0f5-e9f31b5cddd5",1991,1991,"KZRR-FM, KABQ-AM, KPEK-FM, KTEG-FM, KBQI-F2, KZRR-F2, KABQ-FM, KBQI-FM",175130523,175130523
"56c91db5-8304-4eac-ae7d-2497817f784c",411,411,"KXNO-AM, KDRB-FM, KKDM-FM, WHO-AM",28967681,28967681
